sitename,geometry,geo_point
Site C1 - Brougham & M'bool SE,"{""coordinates"":[144.3617064,-38.145308],""type"":""Point""}","-38.145308, 144.3617064"
Front of Pub,"{""coordinates"":[144.7182843,-38.1708102],""type"":""Point""}","-38.1708102, 144.7182843"
Barwon Heads CCTV 3,"{""coordinates"":[144.491628,-38.2812481],""type"":""Point""}","-38.2812481, 144.491628"
CFA Lara CCTV,"{""coordinates"":[144.3695051,-38.0566356],""type"":""Point""}","-38.0566356, 144.3695051"
Node 4 Farnie Park,"{""coordinates"":[144.365724,-38.145595],""type"":""Point""}","-38.145595, 144.365724"
Node Kardinia Park CCTV,"{""coordinates"":[144.3523605,-38.1550143],""type"":""Point""}","-38.1550143, 144.3523605"
Site Y2 - LtMalop & Yarra,"{""coordinates"":[144.3626972,-38.1489619],""type"":""Point""}","-38.1489619, 144.3626972"
Waurn Ponds Skate Park cctv 1,"{""coordinates"":[144.3213111,-38.1983226],""type"":""Point""}","-38.1983226, 144.3213111"
Node Labuan Sq CCTV,"{""coordinates"":[144.3601416,-38.0965355],""type"":""Point""}","-38.0965355, 144.3601416"
Rippleside Node1,"{""coordinates"":[144.3557384,-38.1274272],""type"":""Point""}","-38.1274272, 144.3557384"
New CCTV - Shorts Place -North,"{""coordinates"":[144.3600313,-38.1475229],""type"":""Point""}","-38.1475229, 144.3600313"
Site I 2 & 3 Bus Stop Moorabool St,"{""coordinates"":[144.360141,-38.148802],""type"":""Point""}","-38.148802, 144.360141"
Site T1 - Moorabool & LtMalop West,"{""coordinates"":[144.3602529,-38.1481863],""type"":""Point""}","-38.1481863, 144.3602529"
Worden Crt cctv,"{""coordinates"":[144.3944871,-38.1787376],""type"":""Point""}","-38.1787376, 144.3944871"
Waurn Ponds Skate Park CCTV,"{""coordinates"":[144.3214915,-38.198428],""type"":""Point""}","-38.198428, 144.3214915"
Austin Park Skate Bowl CCTV,"{""coordinates"":[144.4115803,-38.0226357],""type"":""Point""}","-38.0226357, 144.4115803"
Node Kardinia Park CCTV,"{""coordinates"":[144.352854,-38.1579333],""type"":""Point""}","-38.1579333, 144.352854"
Sharon Crt Salvos CCTV,"{""coordinates"":[144.3437883,-38.1083892],""type"":""Point""}","-38.1083892, 144.3437883"
Site B - LtMalop & James,"{""coordinates"":[144.3588868,-38.1479269],""type"":""Point""}","-38.1479269, 144.3588868"
L2 Courthouse cctv,"{""coordinates"":[144.355997,-38.14548],""type"":""Point""}","-38.14548, 144.355997"
High St Car Park cctv,"{""coordinates"":[144.342552,-38.173903],""type"":""Point""}","-38.173903, 144.342552"
High St Library cctv,"{""coordinates"":[144.343445,-38.174851],""type"":""Point""}","-38.174851, 144.343445"
Portalington cctv 1,"{""coordinates"":[144.65168,-38.114883],""type"":""Point""}","-38.114883, 144.65168"
High St Library cctv,"{""coordinates"":[144.343483,-38.17493],""type"":""Point""}","-38.17493, 144.343483"
Node Kardinia Park CCTV,"{""coordinates"":[144.3522854,-38.1557483],""type"":""Point""}","-38.1557483, 144.3522854"
Node Kardinia Park CCTV,"{""coordinates"":[144.3526502,-38.158701],""type"":""Point""}","-38.158701, 144.3526502"
Site O - Rhingold Rest,"{""coordinates"":[144.358842,-38.146809],""type"":""Point""}","-38.146809, 144.358842"
Kensington Rd,"{""coordinates"":[144.4665932,-38.1784862],""type"":""Point""}","-38.1784862, 144.4665932"
Drysdale Comm Bank cctv,"{""coordinates"":[144.570977,-38.172147],""type"":""Point""}","-38.172147, 144.570977"
Dennys Place,"{""coordinates"":[144.359522,-38.1473383],""type"":""Point""}","-38.1473383, 144.359522"
Node Entrance CCTV,"{""coordinates"":[144.3747513,-38.1477592],""type"":""Point""}","-38.1477592, 144.3747513"
St Helens CCTV,"{""coordinates"":[144.3593958,-38.1200833],""type"":""Point""}","-38.1200833, 144.3593958"
Site J - Ryrie & Union,"{""coordinates"":[144.360896,-38.149628],""type"":""Point""}","-38.149628, 144.360896"
Port Rd CCTV,"{""coordinates"":[144.4759666,-38.1765994],""type"":""Point""}","-38.1765994, 144.4759666"
Node Kardinia Park CCTV,"{""coordinates"":[144.3527253,-38.1568619],""type"":""Point""}","-38.1568619, 144.3527253"
Austin Park CCTV,"{""coordinates"":[144.4108427,-38.0223251],""type"":""Point""}","-38.0223251, 144.4108427"
Node CCTV,"{""coordinates"":[144.3749096,-38.147234],""type"":""Point""}","-38.147234, 144.3749096"
Ocean Grove Terrace 2 cctv,"{""coordinates"":[144.52362,-38.267934],""type"":""Point""}","-38.267934, 144.52362"
Node Skate Park CCTV,"{""coordinates"":[144.3592641,-38.0838672],""type"":""Point""}","-38.0838672, 144.3592641"
Site A - LtMalop & Union,"{""coordinates"":[144.361289,-38.148591],""type"":""Point""}","-38.148591, 144.361289"
Site M2 - The Edge,"{""coordinates"":[144.3627272,-38.1443567],""type"":""Point""}","-38.1443567, 144.3627272"
Lara Median Strip CCTV,"{""coordinates"":[144.4087158,-38.0234316],""type"":""Point""}","-38.0234316, 144.4087158"
Node Corio Comm Park CCTV,"{""coordinates"":[144.3595327,-38.0736234],""type"":""Point""}","-38.0736234, 144.3595327"
Worden Crt Carpark cctv,"{""coordinates"":[144.395039,-38.1784958],""type"":""Point""}","-38.1784958, 144.395039"
Site G1 - Moorabool & Malop,"{""coordinates"":[144.3608362,-38.1472718],""type"":""Point""}","-38.1472718, 144.3608362"
Node 5 Richie Blvd Entry,"{""coordinates"":[144.3679584,-38.1464614],""type"":""Point""}","-38.1464614, 144.3679584"
Node 2 Cunningham Pier,"{""coordinates"":[144.3618414,-38.1430582],""type"":""Point""}","-38.1430582, 144.3618414"
Node 6 Richie Blvd Middle,"{""coordinates"":[144.3695676,-38.146723],""type"":""Point""}","-38.146723, 144.3695676"
Highton Village Alley cctv,"{""coordinates"":[144.3235979,-38.1721964],""type"":""Point""}","-38.1721964, 144.3235979"
Node 9 Limeburners BR,"{""coordinates"":[144.3842366,-38.1440523],""type"":""Point""}","-38.1440523, 144.3842366"
Barwon Heads CCTV,"{""coordinates"":[144.4944509,-38.28272],""type"":""Point""}","-38.28272, 144.4944509"
Austin Park Toilet CCTV,"{""coordinates"":[144.4102017,-38.0226125],""type"":""Point""}","-38.0226125, 144.4102017"
