Geo Point,Geo Shape,OBJECTID,NeworkID
"-37.79372104905, 144.94163372585","{""coordinates"": [[144.941672572, -37.793873121], [144.9415948797, -37.7935689771]], ""type"": ""LineString""}",65752,
"-37.8065929059, 144.94787215284998","{""coordinates"": [[144.9477901006, -37.8065313478], [144.9479542051, -37.806654464]], ""type"": ""LineString""}",65790,
"-37.7964883342, 144.92856811765","{""coordinates"": [[144.9286356859, -37.7965615332], [144.9285005494, -37.7964151352]], ""type"": ""LineString""}",65798,
"-37.8131150991, 144.9613892099","{""coordinates"": [[144.961435887, -37.8131088407], [144.9613425328, -37.8131213575]], ""type"": ""LineString""}",65809,
"-37.7951334401, 144.92771797905","{""coordinates"": [[144.9276679077, -37.7950788838], [144.9277680504, -37.7951879964]], ""type"": ""LineString""}",65860,
"-37.794862825150005, 144.92675131245","{""coordinates"": [[144.9267036271, -37.794809682], [144.9267989978, -37.7949159683]], ""type"": ""LineString""}",65895,
"-37.81637318885, 144.96775985255","{""coordinates"": [[144.9677299755, -37.8163131365], [144.9677897296, -37.8164332412]], ""type"": ""LineString""}",65923,
"-37.78976990235, 144.92531023515","{""coordinates"": [[144.9253701873, -37.7898327461], [144.925250283, -37.7897070586]], ""type"": ""LineString""}",65935,
"-37.79064027755, 144.92288072395","{""coordinates"": [[144.9229263868, -37.7906881593], [144.9228350611, -37.7905923958]], ""type"": ""LineString""}",65958,
"-37.7949508362, 144.95708436335","{""coordinates"": [[144.9569922758, -37.7949444233], [144.9571764509, -37.7949572491]], ""type"": ""LineString""}",65963,
"-37.7932263781, 144.95577192825","{""coordinates"": [[144.9557095773, -37.7931813508], [144.9558342792, -37.7932714054]], ""type"": ""LineString""}",65971,
"-37.795276939900006, 144.9451215258","{""coordinates"": [[144.9450419655, -37.7952690461], [144.9452010861, -37.7952848337]], ""type"": ""LineString""}",65983,
"-37.803994287799995, 144.95317730890002","{""coordinates"": [[144.9533542679, -37.8040534294], [144.9530003499, -37.8039351462]], ""type"": ""LineString""}",65984,
"-37.80414104425, 144.94765424644999","{""coordinates"": [[144.9477568754, -37.8041531], [144.9475516175, -37.8041289885]], ""type"": ""LineString""}",66082,
