area,central_asset_id,feature_location,feature_type,site_class,site_name,type,json_ogc_wkt_crs,json_geometry,geo_point_2d
Alfredton,00212249,,PF-Path Lights,No Code Allocated,Learmonth Street ser,Bollard Light 2,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.813338, -37.553759], ""type"": ""Point""}","-37.553759, 143.813338"
Alfredton,00212260,,PF-Path Lights,No Code Allocated,Learmonth Street ser,Bollard Light 2,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.813311, -37.553799], ""type"": ""Point""}","-37.553799, 143.813311"
Alfredton,00212273,Alfredton Recreation Reserve,PF-Sports Ground Lig,OS-District,Alfredton Recreation,3 Rounded Square Lig,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7986198273, -37.5555908126], ""type"": ""Point""}","-37.5555908126, 143.7986198273"
Lake Wendouree,00212363,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8218250083, -37.5497820805], ""type"": ""Point""}","-37.5497820805, 143.8218250083"
Lake Wendouree,00212364,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8215800345, -37.5499180282], ""type"": ""Point""}","-37.5499180282, 143.8215800345"
Lake Wendouree,00212368,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.82152995, -37.5495279684], ""type"": ""Point""}","-37.5495279684, 143.82152995"
Lake Wendouree,00212369,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.82170305, -37.5490750041], ""type"": ""Point""}","-37.5490750041, 143.82170305"
Lake Wendouree,00212371,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8210390287, -37.5491629545], ""type"": ""Point""}","-37.5491629545, 143.8210390287"
Lake Wendouree,00212373,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8211579673, -37.5488079517], ""type"": ""Point""}","-37.5488079517, 143.8211579673"
Lake Wendouree,00212380,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8213460083, -37.5478530136], ""type"": ""Point""}","-37.5478530136, 143.8213460083"
