geo_point_2d,geo_shape,electricity_provider,outage_maplink,streetlight_faults,type,rating,lightid,extracted,lga_name,longitude,latitude,suburb,ward,postcode,easting,northing,projection,gisfid,address,usage,strname
"-38.029814693, 145.2500004563","{""coordinates"": [145.2500004563, -38.029814693], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2312085,2024-06-07,Casey,145.25000045625663,-38.02981469304148,Hampton Park,Waratah,3976,346411,5789433,MGA2020 Zone 55,15654,Somerville Road Hampton Park 3976,,Somerville Road
"-38.0391662615, 145.3490359275","{""coordinates"": [145.3490359275, -38.0391662615], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2304362,2024-06-07,Casey,145.34903592745718,-38.039166261512904,Berwick,Akoonah,3806,355122,5788554,MGA2020 Zone 55,15678,Fyffe Street Berwick 3806,,Fyffe Street
"-38.0617550408, 145.3083322359","{""coordinates"": [145.3083322359, -38.0617550408], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2318806,2024-06-07,Casey,145.3083322359277,-38.0617550407707,Narre Warren South,Kowan,3805,351595,5785983,MGA2020 Zone 55,15710,Cloverlea Grove Narre Warren South 3805,,Cloverlea Grove
"-38.0019702998, 145.2869224763","{""coordinates"": [145.2869224763, -38.0019702998], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2313932,2024-06-07,Casey,145.2869224763446,-38.00197029984656,Hallam,Waratah,3803,349595,5792583,MGA2020 Zone 55,15717,The Estuary Hallam 3803,,The Estuary
"-38.0023887107, 145.2868405526","{""coordinates"": [145.2868405526, -38.0023887107], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2313933,2024-06-07,Casey,145.28684055261462,-38.00238871070217,Hallam,Waratah,3803,349589,5792536,MGA2020 Zone 55,15718,The Estuary Hallam 3803,,The Estuary
"-38.0030566691, 145.2868226795","{""coordinates"": [145.2868226795, -38.0030566691], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2313937,2024-06-07,Casey,145.28682267950134,-38.00305666911479,Hallam,Waratah,3803,349588,5792462,MGA2020 Zone 55,15722,Emily Drive Hallam 3803,,Emily Drive
"-38.1076693483, 145.2655139424","{""coordinates"": [145.2655139424, -38.1076693483], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2319160,2024-06-07,Casey,145.26551394241568,-38.107669348346235,Cranbourne West,Quarters,3977,347934,5780819,MGA2020 Zone 55,15754,Monahans Road Cranbourne West 3977,,Monahans Road
"-38.0587911188, 145.3307840654","{""coordinates"": [145.3307840654, -38.0587911188], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,HP Sodium,150.0,2313956,2024-06-07,Casey,145.33078406538473,-38.05879111882517,Berwick,Akoonah,3806,353559,5786348,MGA2020 Zone 55,15807,Domain Drive Berwick 3806,,Domain Drive
"-38.0303923778, 145.287818665","{""coordinates"": [145.287818665, -38.0303923778], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2313807,2024-06-07,Casey,145.28781866500586,-38.03039237779225,Narre Warren South,Casuarina,3805,349732,5789430,MGA2020 Zone 55,15811,Harold Keys Drive Narre Warren South 3805,,Harold Keys Drive
"-38.0452564665, 145.3293661786","{""coordinates"": [145.3293661786, -38.0452564665], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2318828,2024-06-07,Casey,145.3293661786082,-38.0452564665108,Berwick,Akoonah,3806,353408,5787847,MGA2020 Zone 55,15812,Euston Court Berwick 3806,,Euston Court
"-38.0660187165, 145.2866603378","{""coordinates"": [145.2866603378, -38.0660187165], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2318996,2024-06-07,Casey,145.28666033779572,-38.06601871650772,Narre Warren South,Casuarina,3805,349703,5785475,MGA2020 Zone 55,15820,Lansbury Drive Narre Warren South 3805,,Lansbury Drive
"-38.0653887082, 145.2848719976","{""coordinates"": [145.2848719976, -38.0653887082], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,CC Mercury Vapour,80.0,2319002,2024-06-07,Casey,145.28487199763256,-38.065388708179995,Narre Warren South,Casuarina,3805,349545,5785542,MGA2020 Zone 55,15826,Harrington Drive Narre Warren South 3805,,Harrington Drive
"-38.0435827086, 145.3260963985","{""coordinates"": [145.3260963985, -38.0435827086], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,18.0,2319009,2024-06-07,Casey,145.3260963985401,-38.043582708603566,Berwick,Akoonah,3806,353118,5788028,MGA2020 Zone 55,15844,Golf Links Road Berwick 3806,,Golf Links Road
"-38.0504022847, 145.2853942195","{""coordinates"": [145.2853942195, -38.0504022847], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,17.0,2319127,2024-06-07,Casey,145.285394219513,-38.05040228471726,Narre Warren South,Casuarina,3805,349560,5787206,MGA2020 Zone 55,15847,Ormond Road Narre Warren South 3805,,Ormond Road
