geo_coordinates
"[-37.81383600004095, 144.94229199974288]"
"[-37.81344200000782, 144.94172699995684]"
"[-37.813460000022296, 144.94173700057334]"
"[-37.81409100003984, 144.94275500001876]"
"[-37.80229899976622, 144.96595599992463]"
"[-37.80244200009809, 144.966110000395]"
"[-37.802524999806984, 144.9660820005226]"
"[-37.803048999846794, 144.9657909997538]"
"[-37.80297999994688, 144.9657000002687]"
"[-37.802917000281894, 144.96559900049772]"
"[-37.803178999851525, 144.96598599962175]"
"[-37.80316599992095, 144.96596500026232]"
"[-37.80280300014426, 144.96539300021465]"
"[-37.80276800029976, 144.96535300028077]"
"[-37.81923300015367, 144.95011199956625]"
"[-37.82107999999596, 144.9517089999369]"
"[-37.81919299974323, 144.9650490003794]"
"[-37.819241000320204, 144.96456400046267]"
"[-37.819643000082976, 144.9629169996569]"
"[-37.81838900001825, 144.97367900022866]"
"[-37.81838300028568, 144.97379699947874]"
"[-37.81846600021888, 144.9719540002558]"
"[-37.818474000101816, 144.97177100011086]"
"[-37.8185040001462, 144.97109999995052]"
"[-37.81849700013838, 144.97094700016362]"
"[-37.818550000094135, 144.97159100052022]"
"[-37.81887099976659, 144.97316499969287]"
"[-37.818724999949545, 144.97271000030815]"
"[-37.819056999990096, 144.9734649996873]"
"[-37.81927999955387, 144.97392799975185]"
"[-37.81935999983794, 144.97406799963338]"
"[-37.81979000007859, 144.97469000027078]"
"[-37.81926200029553, 144.97388500031744]"
"[-37.81969599972146, 144.974571000626]"
"[-37.82039600019073, 144.97535700037514]"
"[-37.82040699985125, 144.97536800001942]"
"[-37.82026299991494, 144.97520900052186]"
"[-37.82072699963602, 144.97564400041955]"
"[-37.819816000019664, 144.97579800045506]"
"[-37.82123700033718, 144.97605500062417]"
"[-37.821740000240716, 144.97648100049318]"
"[-37.819365999772145, 144.9745279995137]"
"[-37.819428000054245, 144.97472399974694]"
"[-37.81936999987052, 144.9456230002215]"
"[-37.819254999709415, 144.97422499984424]"
"[-37.81924699963304, 144.97421000037028]"
"[-37.81945400019989, 144.94530700012018]"
"[-37.81913800003145, 144.94650100051743]"
"[-37.80281700042026, 144.97062900062102]"
"[-37.81903899962101, 144.94634200038925]"
"[-37.81161700036586, 144.97497599986625]"
"[-37.81164999997272, 144.9753850002304]"
"[-37.81376499976063, 144.9417610002121]"
"[-37.81442999971675, 144.94033799996805]"
"[-37.81171800038034, 144.97489900051895]"
"[-37.80270899968393, 144.97035599967322]"
"[-37.814311999779136, 144.94061299973893]"
"[-37.81451800015681, 144.94004200033012]"
"[-37.811265999738886, 144.9751830000456]"
"[-37.80159099971751, 144.9724760001845]"
"[-37.80109000004725, 144.9702759997199]"
"[-37.80124399997789, 144.97027799972295]"
"[-37.802241999774395, 144.97009300044903]"
"[-37.80220300022278, 144.97168800028763]"
"[-37.80184800023817, 144.97118799989312]"
"[-37.801830999654264, 144.97157000035025]"
"[-37.801269999516705, 144.9722470002163]"
"[-37.801290000231404, 144.9722279995344]"
"[-37.802476000277515, 144.9715880004046]"
"[-37.80238699987323, 144.9709039996403]"
"[-37.81963699997612, 144.9445829997932]"
"[-37.82019700025689, 144.94236599988253]"
"[-37.81392299953665, 144.94142199968965]"
"[-37.8197510002237, 144.94417099993746]"
